name	ID	category	order	icon	initial	random	duration type	duration time	default price	min price	max price	prerequisite tech 1	prerequisite tech 2	prerequisite level	bonus type 1	bonus val 1	bonus val max 1	bonus type 2	bonus val 2	bonus val max 2	bonus type 3	bonus val 3	bonus val max 3	new structure	obsolete structure	obsolete tech	description
### Version 1																											
### Tech Advances																											
Chemistry	0	tech	1				permanent		0						salvage_value	5		attack_manpower	6		tech	1					Knowledge of chemical interactions, and techniques capable of producing useful concoctions.
Electromagnetism	1	tech	1				permanent		0			Chemistry			manpower_max	3750		manpower_rate	320		tech	1					An understanding of how electric and magnetic fields interact allows us to harness powerful natural forces.
Electromagnetic Coherer	2	tech	1				permanent		0			Electromagnetism			energy_max	820					tech	1					This primitive radio signal detector allows simple messages to be sent great distances through the air.
Crystal Receiver	3	tech	1				permanent		0			Electromagnetic Coherer			crit_chance	3					tech	1					A more advanced radio signal receiver allowing reception of more complex messages at greater distances.
Electronic Oscillator	4	tech	1				permanent		0			Crystal Receiver			manpower_rate	160		energy_max	820		tech	1					This signal generating device enables more powerful radio transmissions, and underlies many further advances.
Electronics	5	tech	1				permanent		0			Electronic Oscillator			attack_manpower	12					tech	1					An understanding of how to manipulate electrons, so as to control machinery or quickly transmit and process information.
Elementary Computer	6	tech	1				permanent		0			Electronics			xp_multiplier	16		salvage_value	5		tech	1					A basic information processing device that promises to be very useful in both warfare and research.
Digital Communication	7	tech	1				permanent		0			Elementary Computer			hp_restore	12		geo_efficiency	1		tech	1					Rapid, automated, high bandwidth communication allows for the manipulation of vast amounts of information.
Advanced Chemistry	8	tech	1				permanent		0			Digital Communication			manpower_max	3750		energy_rate	145		tech	1					Advanced methods and techniques for manipulating chemicals in useful ways.
Advanced Materials	9	tech	1				permanent		0			Advanced Chemistry			hp_per_square	4		energy_max	1640		tech	2					Techniques for mass producing useful advanced materials, such as carbon nanotubes and superconducting ceramics.
Advanced Computer	10	tech	1				permanent		0			Advanced Materials			manpower_max	7500		crit_chance	4		tech	1					Extraordinarily high speed computer technology pushing the edge of the quantum speed barrier.
Artificial Intelligence	11	tech	1				permanent		0			Advanced Computer			attack_manpower	10		hp_restore	12		tech	2					By examining how memory and motivation are implemented in the brain, we learn how to imbue computers with human-like intelligence.
Nanotechnology	12	tech	1				permanent		0			Artificial Intelligence			hp_restore	12		xp_multiplier	16		salvage_value	10					Techniques for building machinery at the nanometer scale, useful for the development of computer and medical technology.
Cold Fusion Power Source	13	tech	1				permanent		0			Nanotechnology			energy_rate	145		energy_max	1640		tech	1					Using radio waves as a catalyst, we learn to bypass the Coulomb barrier, allowing us to generate massive amounts of energy from common elements such as nickel.
Interdimensional Gate	14	tech	1				permanent		0			Cold Fusion Power Source	Interdimensional Portal		manpower_max	7500		energy_max	1640		tech	1					By using interdimensional gateways, we're able to move people, weapons and energy between extradimensional planes.
Teleportation	15	tech	1				permanent		0			Interdimensional Gate			geo_efficiency	2		attack_manpower	5		tech	1					The use of interdimensional gateways to move our forces and resources rapidly from one position to another.
Zero Point Power Source	16	tech	1				permanent		0			Teleportation			energy_rate	145		energy_max	1640		tech	1					By effectively splitting time itself, near unlimited energy can be drawn from the very quantum vacuum of empty space.
Chemical Energy Storage	17	tech	1				permanent		0			Electromagnetism			energy_rate	145		energy_max	1640		tech	1					A mastery of chemical reactions allows us to store both heat and electrical energy in specialized chemical compounds.
Radar	18	tech	3				permanent		0			Electronics			hp_per_square	8		crit_chance	4		tech	1					A Technology capable of detecting enemy aircraft at a distance, and tracking our own aircraft.
Broadband Multiplexing	19	tech	3				permanent		0			Digital Communication			manpower_rate	160		max_alliances	1		tech	1					By combining a large number of high bandwidth signals in a single stream, we're able to transmit vast quantities of information at high speed.
Heavy Explosives	20	tech	3				permanent		0			Advanced Chemistry			wall_discount	10		structure_discount	15		crit_chance	4					Mastering the ability to synthesize and safely handle explosive chemical compunds with very high energy density.
Laser	25	tech	3				permanent		0			Advanced Materials			energy_rate	145		crit_chance	3		tech	1					A highly focused beam of light capable of cutting steel or communicating information.
Rocketry	21	tech	3				permanent		0			Chemistry			attack_manpower	10					tech	1					Chemical fuels combined with advanced guidance systems allow us to transport craft across the sky at enormous speeds.
Solid Fuel	22	tech	3				permanent		0			Rocketry			energy_rate	145		energy_max	1640		tech	1					Safer, denser chemical energy storage solutions allow for improvements in rocketry, weapons, and transportation.
Guided Missile	23	tech	3				permanent		0			Solid Fuel	Elementary Computer		hp_per_square	8					tech	1					Computerized remote guidance systems allow rockets to home in on their target with great precision.
Artificial Satellite	24	tech	3				permanent		0			Guided Missile			hp_per_square	8		attack_manpower	14		tech	1					An orbiting device launched by rocket and capable of carrying weapons or sensors.
Anti-Ballistic Armor	31	tech	3				permanent		0			Advanced Materials			hp_per_square	8					tech	1					New materials allow projectile force to be absorbed and dispersed much more effectively.
General Relativity	26	tech	5				permanent		0			Electromagnetism			manpower_rate	160		max_alliances	1		tech	1					An understanding of the relationships between time, space, energy and gravity open up myriad possible applications.
Quantum Mechanics	27	tech	5				permanent		0			General Relativity			manpower_max	7500		xp_multiplier	16		tech	1					By understanding how matter and energy work at the smallest scales, we are able to exploit them much more effectively.
Nuclear Fission	28	tech	5				permanent		0			Quantum Mechanics			manpower_rate	160		energy_rate	145		tech	1					A sustained chain reaction of splitting atomic nucei releases a torrent of energy, to be harnessed or else unleashed.
Nuclear Fusion	29	tech	5				permanent		0			Nuclear Fission			energy_rate	145		energy_max	1640		tech	1					Contained nuclear fusion, capable of producing enormous amounts of energy with little environmental damage.
Depleted Uranium	30	tech	5				permanent		0			Nuclear Fusion			hp_per_square	8		crit_chance	4		tech	1					A byproduct of uranium nuclear fuel enrichment, this extremely dense metal is useful for both weapons and armor.
Nanorobotics	32	tech	7				permanent		0			Nanotechnology			hp_restore	12		manpower_rate	320		attack_manpower	25					Using advanced nanotechnology we develop tiny autonomous robots capable of cooperating to perform all kinds of tasks.
Cybernetic Intelligence Enhancement	33	tech	7				permanent		0			Nanorobotics			xp_multiplier	16		simultaneous_actions	1		tech	2					Super-intelligent human beings created through cybernetic neural enhancements, employing our advanced nanotechnology.
Cybanthropic Merge	34	tech	7				permanent		0			Cybernetic Intelligence Enhancement		30	attack_manpower	10		manpower_rate	320		total_defense	1					A final joining of man and machine, becoming one through precise nanoscale simulation of the living brain.
Cybanthropic War Machines	35	tech	7				permanent		0			Cybanthropic Merge			manpower_rate	320		manpower_max	7500		tech	2					Devastatingly powerful entities. Heavily armed, armored and shielded, these behemoths are capable of walking or flying. Neither man nor machine, they are both.
Steel Construction	36	tech	7				permanent		0			Chemistry			hp_restore	12		structure_discount	10		tech	1					Steel frames allow for the construction of structures that are much larger and stronger than any that we could build before.
Reinforced Concrete	37	tech	7				permanent		0			Steel Construction			hp_per_square	8		manpower_max	7500		tech	1					By casting flexible steel reinforcements within concrete, enormous structures can be built, ranging from walls and bridges to factories and skyscrapers.
Advanced Gunpowder	38	tech	9				permanent		0			Steel Construction			attack_manpower	10		max_alliances	1		tech	1					Compact explosive chemical compounds that can be used to launch projectiles at great speeds.
Small Arms	39	tech	9				permanent		0			Advanced Gunpowder			attack_manpower	10					tech	1					Small devices such as muskets and pistols, capable of launching deadly bullets and of being wielded by a single person.
Proximity Fuse	40	tech	9				permanent		0			Small Arms			hp_per_square	4					tech	1					The ability to trigger an explosize device at a partcular distance from its target has uses ranging from artillary shelling to antiaircraft defenses.
Nuclear Power Source	41	tech	9				permanent		0			Nuclear Fission			energy_rate	145		energy_max	1640		tech	1					Nuclear reactions used to generate electrical power from small amounts of fuel, but creating radioactive waste as a by-product.
Advanced Mechanics	42	tech	9				permanent		0			Electromagnetism			hp_restore	12		wall_discount	10		tech	1					Techniques allowing for the creation of very fine and precise mechanical instruments.
Internal Combustion	43	tech	9				permanent		0			Advanced Mechanics			manpower_max	7500		energy_rate	145		tech	1					A controlled processes of repeated explosions that can be used to drive all kinds of machinery, with applications including manufacturing and transportation.
Railroad	44	tech	9				permanent		0			Internal Combustion			hp_restore	12		attack_manpower	10		tech	1					A method of transporting people and cargo great distances using engine driven cars on permanent tracks.
Automobile	45	tech	9				permanent		0			Railroad			manpower_rate	320		geo_efficiency	2		tech	1					Small scale motorized transportation devices, capable of traversing rugged terrain.
Mechanized Warfare	46	tech	9				permanent		0			Automobile			attack_manpower	10		manpower_max	7500		tech	1					Mobile warfare tactics that employ tanks, armored vehicles and aircraft.
### Tech Units																											
Wall	47	tech	10		TRUE		permanent		0															Wall			
Wall II	48	tech	10				permanent		0			Steel Construction		10	hp_per_square	8								Wall II			
Wall III	49	tech	10				permanent		0			Reinforced Concrete	Wall II	20							tech	1		Wall III			
Plasma Screen	50	tech	10				permanent		0			Electromagnetism	Wall III	30										Plasma Screen			
Plasma Screen II	51	tech	10				permanent		0			Quantum Mechanics	Plasma Screen	40										Plasma Screen II			
Plasma Screen III	52	tech	10				permanent		0			Advanced Materials	Plasma Screen II	50	energy_max	1640					tech	1		Plasma Screen III			
Void Dam	53	tech	6				permanent		0			Interdimensional Gate		60										Void Dam	Wall		
Void Dam II	54	tech	6				permanent		0			Teleportation	Void Dam	70										Void Dam II			
Void Dam III	55	tech	6				permanent		0			Zero Point Power Source	Void Dam II	80							tech	1		Void Dam III			
Cannon	56	tech	10		TRUE		permanent		0															Cannon			
Cannon II	57	tech	10				permanent		0			Steel Construction		5										Cannon II			
Cannon III	58	tech	10				permanent		0			Advanced Gunpowder	Cannon II	15							tech	1		Cannon III			
Artillery Battery	59	tech	10				permanent		0			Proximity Fuse	Cannon III	25										Artillery Battery			
Artillery Battery II	60	tech	10				permanent		0			Depleted Uranium	Artillery Battery	35										Artillery Battery II			
Artillery Battery III	61	tech	10				permanent		0			Heavy Explosives	Artillery Battery II	45							tech	1		Artillery Battery III			
Rocket Launcher	62	tech	10				permanent		0			Rocketry	Artillery Battery III	55										Rocket Launcher	Cannon		
Rocket Launcher II	63	tech	10				permanent		0			Solid Fuel	Rocket Launcher	65	manpower_max	7500								Rocket Launcher II			
Rocket Launcher III	64	tech	10				permanent		0			Guided Missile	Rocket Launcher II	75	manpower_rate	320					tech	1		Rocket Launcher III			
Fuel Tank	65	tech	8				permanent		0			Chemical Energy Storage		5										Fuel Tank			
Fuel Tank II	66	tech	10				permanent		0			Nuclear Power Source		20										Fuel Tank II			
Fuel Tank III	67	tech	4				permanent		0			Cold Fusion Power Source		50							tech	1		Fuel Tank III			
Radio Tower	68	tech	2				permanent		0			Electromagnetic Coherer												Radio Tower			
Radio Tower II	69	tech	2				permanent		0			Crystal Receiver	Radio Tower	8	hp_restore	12								Radio Tower II			
Radio Tower III	70	tech	2				permanent		0			Electronic Oscillator	Radio Tower II	18							tech	1		Radio Tower III			
SatCom Command	71	tech	6				permanent		0			Artificial Satellite	Radio Tower III	28	manpower_rate	320								SatCom Command			
SatCom Command II	72	tech	6				permanent		0			Digital Communication	SatCom Command	38										SatCom Command II			
SatCom Command III	73	tech	6				permanent		0			Broadband Multiplexing	SatCom Command II	48	hp_restore	12					tech	1		SatCom Command III			
Autonomous War Base	74	tech	10				permanent		0			Elementary Computer		58	manpower_rate	320								Autonomous War Base	Radio Tower		
Autonomous War Base II	75	tech	10				permanent		0			Advanced Computer	Autonomous War Base	68	hp_per_square	8								Autonomous War Base II			
Autonomous War Base III	76	tech	10				permanent		0			Artificial Intelligence	Autonomous War Base II	78	manpower_max	7500					tech	1		Autonomous War Base III			
Guided Missile Station	77	tech	10				permanent		0			Guided Missile		22										Guided Missile Station			
Guided Missile Station II	78	tech	10				permanent		0			Advanced Materials	Guided Missile Station	42										Guided Missile Station II			
Guided Missile Station III	79	tech	10				permanent		0			Advanced Computer	Guided Missile Station II	62							tech	1		Guided Missile Station III			
Nanobot Swarm Base	80	tech	10				permanent		0			Nanorobotics												Nanobot Swarm Base			
Nanobot Swarm Base II	81	tech	10				permanent		0			Cybanthropic Merge	Nanobot Swarm Base	54	hp_restore	12								Nanobot Swarm Base II			
Nanobot Swarm Base III	82	tech	10				permanent		0			Cybanthropic War Machines	Nanobot Swarm Base II	64	hp_per_square	8		attack_manpower	8		tech	1		Nanobot Swarm Base III			
Dead Hand	83	tech	10				permanent		0			Elementary Computer	Nuclear Fission											Dead Hand			
Dead Hand II	84	tech	10				permanent		0			Nuclear Fusion	Dead Hand	31										Dead Hand II			
Dead Hand III	85	tech	10				permanent		0			Advanced Computer	Dead Hand II	41							tech	1		Dead Hand III			
Geographic Wipe	86	tech	4				permanent		0			Interdimensional Gate		51										Geographic Wipe			
Geographic Wipe II	87	tech	4				permanent		0			Teleportation	Geographic Wipe	61										Geographic Wipe II			
Geographic Wipe III	88	tech	4				permanent		0			Zero Point Power Source	Geographic Wipe II	71							tech	1		Geographic Wipe III			
### Bio Advances																											
Biology	89	bio	1				permanent		0						hp_restore	6		manpower_rate	100								A basic understanding of living systems.
Advanced Horticulture	90	bio	1				permanent		0			Biology			manpower_max	7500					bio	1					Improved knowledge and techniques for working with plants allow us to modify their growth to fit our needs.
Advanced Grafting	91	bio	1				permanent		0			Advanced Horticulture			manpower_rate	350		energy_max	1640		bio	2					Methods of grafting parts from different plants let us combine their strengths while eliminating their weaknesses.
Cross Breeding	92	bio	1				permanent		0			Advanced Grafting			hp_restore	6		manpower_max	7500		attack_manpower	4					Advanced techniques for selectively breeding animals allow us to manipulate their evolution in the directions we choose.
Biochemistry	93	bio	1				permanent		0			Cross Breeding			energy_rate	145		energy_max	1640		bio	1					A basic understanding of the chemical processes of life.
Genomics	94	bio	1				permanent		0			Biochemistry			manpower_max	7500		max_alliances	1		bio	1					By cataloguing the genes that make up life, and understanding how they interact, we make great strides in both medicine and directed evolution. 
Genetic Engineering	95	bio	1				permanent		0			Genomics			hp_restore	6		hp_per_square	8		bio	2					Methods of manipulating the genetic code allow us to program the structure and behavior of living creatures, to alter their designs to fit our needs.
Organic Computer	96	bio	1				permanent		0			Genetic Engineering			hp_restore	12		manpower_rate	700		bio	1					A rudimentary computing device grown out of living plant matter.
Gene Programming	97	bio	1				permanent		0			Organic Computer			attack_manpower	8		energy_max	1640		manpower_rate	600					The ability to design whole genomes from scratch allows us to create new lifeforms with limitless applications in energy, medicine, construction and combat.
Airborne Propagation	98	bio	1				permanent		0			Gene Programming			geo_efficiency	2					bio	1					Microscopic living creatures of our own design can be spread through the air.
Enhanced Contagion	99	bio	1				permanent		0			Airborne Propagation			crit_chance	3					bio	1					Genetic manipulation allows us to maximize the damage that custom pathogens do to our enemies.
Advanced Biochemistry	100	bio	1				permanent		0			Enhanced Contagion			hp_restore	12		energy_max	1640		salvage_value	5					A complete understanding of the chemical processes that make up living cells opens up new possibilities for the creation and manipulation of lifeforms.
Exobiology	101	bio	1				permanent		0			Advanced Biochemistry			manpower_max	7500		energy_rate	145		bio	1					The study of extraterrestrial artifacts gives us an understanding of exotic types of living systems that originate in other realms.
Bacterial Fabrication	102	bio	1				permanent		0			Exobiology			hp_restore	12		energy_max	1640		salvage_value	10					The ability to design and fabricate new forms of bacteria. Directed to work together in vast numbers they are capable of enormous feats of creation or destruction.
Hardened Vegetation	103	bio	1				permanent		0			Bacterial Fabrication			hp_per_square	8		attack_manpower	8		bio	1					Custom engineered vegetation quickly builds its own tough armor to protect our troops and structures.
Organic Transmutation	104	bio	1				permanent		0			Hardened Vegetation			manpower_max	7500		energy_rate	145		bio	1					Genetically programmed cell organelles catalyze reactions that lead to nuclear transmutation and an abundant release of harnessable energy.
Abundant Growth	105	bio	1				permanent		0			Organic Transmutation			hp_per_square	8		manpower_rate	350		bio	1					Advanced horticultural techniques allowing plants to grow at many times their normal rates.
Biomending	106	bio	1				permanent		0			Abundant Growth			hp_restore	12					bio	1					Our soldiers, structures and vehicles are genetically programmed to rapidly heal themselves.
Gaia Energy	107	bio	1				permanent		0			Biomending			energy_rate	145		energy_max	1640		bio	2					The ability to tap into the source of life energy shared by all organisms opens up a vast number of applications for this abundant form of energy.
Pathogen Isolation	108	bio	1				permanent		0			Biology			max_alliances	1					bio	1					Isolating the dangerous pathogens that cause disease allows us to protect ourselves while directing these agents toward our enemies.
Creeper Toxemia	109	bio	1				permanent		0			Advanced Grafting			attack_manpower	4		manpower_rate	350		bio	1					We develop tough, rapidly growing vines that are toxic and corrosive to the touch, perfect for growing invasive weapons..
Specialized Rhizobia	110	bio	1				permanent		0			Cross Breeding			crit_chance	3					bio	1					We've developed custom bacteria that live symbiotically within plant roots, giving them vastly improved capabilities.
Invasive Roots	111	bio	1				permanent		0			Specialized Rhizobia			hp_per_square	8					bio	1					Deep, thick roots that grow beneath enemy territory and then collapse, heaving the earth and bringing chaos and destruction.
Mustard Gas	112	bio	1				permanent		0			Biochemistry			hp_per_square	4					bio	1					This highly cytotoxic tissue vesicant is capable of clearing battlefields of enemy troops. 
Nerve Agents	113	bio	1				permanent		0			Mustard Gas			hp_restore	6					bio	1					A toxic, quick killing chemical that speads rapidly over a battlefield.
Phosgene	114	bio	1				permanent		0			Nerve Agents			hp_per_square	4					bio	1					A devestatingly effective chemical agent.
Bioaerosol	115	bio	1				permanent		0			Phosgene			crit_chance	3					bio	1					A method of delivering airborne pathogens to our enemy's forces.
Bioengineered Disease	116	bio	1				permanent		0			Bioaerosol			crit_chance	3					bio	1					Custom engineered pathogens allow us to infect our enemies while enjoying immunity for ourselves.
Metabolic Manipulation	117	bio	1				permanent		0			Advanced Horticulture			hp_restore	12		manpower_max	7500		salvage_value	5					The ability to manipulate how plants and animals process energy opens up many possibilities ranging from hibernation to enhanced speed.
Accelerated Photosynthesis	118	bio	1				permanent		0			Metabolic Manipulation			hp_per_square	4		attack_manpower	8		bio	1					Custom engineered improvements to the photosynthetic process allows plants to harvest far more energy from light than they can naturally.
Rapid Propagation	119	bio	1				permanent		0			Accelerated Photosynthesis			hp_per_square	4		attack_manpower	8		manpower_rate	350					Techniques that allow plants to grow and reproduce many times faster than normal.
