name	ID	category	order	icon	initial	random	duration type	duration time	default price	min price	max price	prerequisite tech 1	prerequisite tech 2	prerequisite level	bonus type 1	bonus val 1	bonus val max 1	bonus type 2	bonus val 2	bonus val max 2	bonus type 3	bonus val 3	bonus val max 3	new structure	obsolete structure	obsolete tech	description
Hypnotic Inducer III	247	psi	1				permanent		0			Ectoplasmic Trance	Hypnotic Inducer II	28	xp_multiplier	16					psi	1		Hypnotic Inducer III			
Temple of Zoth-Ommog	248	psi	1				permanent		0			Conjure Horror		42										Temple of Zoth-Ommog			
Temple of Zoth-Ommog II	249	psi	1				permanent		0			Thoughtform Amplification	Temple of Zoth-Ommog	56										Temple of Zoth-Ommog II			
Temple of Zoth-Ommog III	250	psi	1				permanent		0			Protracted Manifestation	Temple of Zoth-Ommog II	70	hp_per_square	8					psi	1		Temple of Zoth-Ommog III			
Ecto Ray	251	psi	1				permanent		0			Ectoplasmosis												Ecto Ray			
Ecto Ray II	252	psi	1				permanent		0			Ectoplasmic Illusion	Ecto Ray	9										Ecto Ray II			
Ecto Ray III	253	psi	1				permanent		0			Ectoplasmic Trance	Ecto Ray II	19							psi	1		Ecto Ray III			
Djinn Portal	254	psi	1				permanent		0			Interdimensional Portal		29	manpower_rate	320								Djinn Portal			
Djinn Portal II	255	psi	1				permanent		0			Djinn Telepathy	Djinn Portal	39	energy_max	1640								Djinn Portal II			
Djinn Portal III	256	psi	1				permanent		0			Arch Djinn Summons	Djinn Portal II	49							psi	1		Djinn Portal III			
### Tech Purchasables																											
Recycling	300	tech_buy	100				temporary	3600	20			Chemistry			salvage_value	15											Materials salvaged from old structures can be reprocessed into new materials for re-use, reducing the cost of new structures.
Defense Architect	301	tech_buy	100				temporary	3600	50			Steel Construction			structure_discount	20											We hire the services of a talented architect capable of designing effective defensive structures.
Great Dams	302	tech_buy	100				temporary	43200	30			Reinforced Concrete			energy_max_mult	35											The building of great dams with which to generate hydroelectric power.
Talented Tinkerer	303	tech_buy	100				temporary	3600	30			Advanced Mechanics			xp_multiplier	18											We employ the services of one talented in the invention of useful mechanisms.
Nonlocal Entanglement	304	tech_buy	100				temporary	43200	70			Quantum Mechanics			geo_efficiency	5											Using quantum effects we are able to communicate and even transport objects over great distances instantaneously.
Black Market Weaponry	305	tech_buy	100			TRUE	temporary	3600	60			Small Arms			tech_mult	20											A cache of high-powered munitions.
Radioactive Fallout	306	tech_buy	100				temporary	900	20			Nuclear Fission			splash_damage	18											By attacking with radioactive materials that drift through the atmosphere, damage is spread over great distances.
Antimatter Shield	307	tech_buy	100				temporary	7200	110			Nuclear Fusion			hp_per_square_mult	10											Antimatter leaked out of a spacetime pocket in a shell-like shape, creating a powerful energy shield to protect our units and territories.
Computer Prodigy	308	tech_buy	100				temporary	43200	160			Elementary Computer			xp_multiplier	15											A genius with electronics, this individual will help us accelerate the advancement of computer science.
Ace Pilot	309	tech_buy	100				temporary	3600	40			Mechanized Warfare			crit_chance	15											An ace fighter pilot rallies our fliers and brings victory in the air.
Rapid Prototyping	310	tech_buy	100				permanent		250			Advanced Chemistry			tech_mult	12											A fast method of gene sequencing capable of speeding genetic research.
Anagronomy	311	tech_buy	100				permanent		270			Advanced Materials			manpower_max_mult	15											Now able to extract nutrients directly from raw materials, we have no more need for farming.
Mine Laying Cockroaches	312	tech_buy	100				temporary	3600	140			Nanotechnology			bio_mult	30											Genetically engineered cockroaches capable of infesting enemy territory and laying highly explosive mines underfoot.
Nanotubule Interface	313	tech_buy	100				permanent		500			Nanorobotics			psi_mult	16											By manipulating the cell structures that interact with psychic energy, we are able to harness psionic abilities.
Nanobot Bio Repair	314	tech_buy	100				temporary	14400	80			Cybernetic Intelligence Enhancement			manpower_rate_mult	30		hp_restore_mult	12								Intelligent nanobot swarms capable of repairing wounds and rapidly returning our fighters to the front lines.
Climate Manipulation	315	tech_buy	100				temporary	43200	90			Zero Point Power Source			energy_rate_mult	18											Methods of utilizing zero point energy to improve our own weather and climate, and wrack our enemies with storm or drought.
### Bio Purchasables																											
Brilliant Naturalist	350	bio_buy	100				temporary	3600	100			Advanced Horticulture			xp_multiplier	20											We employ the services of a brilliant naturalist who can aid us in our learning.
Carnivorous Underbrush	351	bio_buy	100				temporary	43200	180			Advanced Grafting			hp_per_square_mult	10											A defensive perimeter of carnivorous plants that will incapacitate and then slowly digest invading troops.
Metabolic Boost	352	bio_buy	100				temporary	21600	60			Metabolic Manipulation			energy_rate_mult	20											Metabolic acceleration resulting in more rapid energy production.
Composter Worms	353	bio_buy	100				temporary	3600	10			Cross Breeding			salvage_value	12											Specially bred worms that rapidly decompose our obsolete structures into raw nutrients that can then be efficiently reused.
Pesticides	354	bio_buy	100				temporary	28800	100			Biochemistry			manpower_rate_mult	25											Chemicals used to kill agricultural parasites, making farms more efficient.
Mycorrhizal Undernet	355	bio_buy	100				temporary	86400	160			Invasive Roots			geo_efficiency	6											A vast living subterranean network of massive fungal strands that can be used to communicate and transport materials.
Paralyzing Mosquito	356	bio_buy	100				permanent		70			Genetic Engineering			bio_mult	20											Genetically engineered insects whose bite immediately paralyzes the victim.
Brewer of Death	357	bio_buy	100				temporary	3600	30			Nerve Agents			crit_chance	12											We hire the services of an expert in the brewing of lethal potions.
Organic Supercomputer	358	bio_buy	100				permanent		250			Organic Computer			tech_mult	12											A highly advanced computing device grown out of living plant matter.
Genetically Modified Foods	359	bio_buy	100				permanent		200			Gene Programming			manpower_max_mult	12											New types of food that are healthier, grow faster, and ward off parasites.
Contagion	360	bio_buy	100			TRUE	temporary	1800	50			Bioengineered Disease			splash_damage	20											A highly infectious genetically engineered pathogen spreads great distances to infect enemy troops over a wide area.
Guarding Fields	361	bio_buy	100				temporary	36000	60			Sentient Plants			hp_restore_mult	10											Our food crops are given sentience, and actively slow the progress of invading forces, facilitating a counter-attack.
Bioenergy Storganisms	362	bio_buy	100				temporary	86400	80			Bacterial Fabrication			energy_max_mult	40											Custom fabricated organisms engineered to be capable of storing enormous quantities of energy.
Arboreal Barrage	363	bio_buy	100				temporary	3600	40			Behavioral Botany			bio_mult	25											Arboreal catapults given much greater accuracy and destructive power by being imbued with conscious awareness.
Rich Humus	364	bio_buy	100				temporary	3600	30			Grown Dwellings			structure_discount	15											Nutrient-laden organic materials that allow us to grow new structures much more rapidly than normal.
Bioenergy Conductor	365	bio_buy	100				permanent		700			Neuroharmonics			psi_mult	20											Using materials we obtain that can conduct bioenergy, we are able to access the psychical aspects of living systems. 
### Psi Purchasables																											
Energy Vampirism	400	psi_buy	100				permanent		120			Piezoetheric Induction			energy_rate_mult	25											Using esoteric techniques we are able to drain psychic energy from our enemies, and employ it for our own uses.
Flawless Crystals	401	psi_buy	100				temporary	86400	60			Crystal Resonance			energy_max_mult	30											A supply of flawless crystals allows us to store energy in a more concentrated form.
Turn Loyalty	402	psi_buy	100				temporary	3600	60			Seed Fear			psi_mult	18											An advanced psionic effect used to make an enemy spy or even leader loyal to our nation.
Illusory Multitudes	403	psi_buy	100				temporary	36000	140			Mass Illusion			hp_per_square_mult	15											By tricking our enemies into perceiving many more of us than there are, their attacks are directed against thin air and our numbers last much longer.
Focused Intent	404	psi_buy	100				temporary	28800	120			Lattice Frequency Tuning			manpower_rate_mult	30											By powerfully focusing our intent as a group, we are able to amplify the motivation of our troop to charge into battle.
Transmutation	405	psi_buy	100				temporary	3600	30			Torsion Field Energy			salvage_value	18											By accessing the deep levels at which matter is merely an illusion, we are able to transform one material to another, allowing the old to be made new again.
Ancient Scry Stones	406	psi_buy	100				temporary	86400	30			Vortex Harmonics			crit_chance	10											We discover ancient crystal scry stones which we can use to communicate over long distances, and observe our enemys activities.
Bilocation	407	psi_buy	100				permanent		300			Mass Telekinesis			geo_efficiency	4											Using an arcane technique to split our physical presence among multiple locations simultaneously, communication and transportation becomes much easier.
Arboreal Ally	408	psi_buy	100				permanent		120			Astral Summons			bio_mult	12											We gain the favor of a powerful and influential tree spirit, who is willing to aid us in defending our territory.
Psychic Shockwave	409	psi_buy	100				temporary	3600	30			Electroetheric Discharge			splash_damage	15											Our attacks are accompanied by an electroetheric shockwave, inflicting great damage to our enemies over a wide area.
Mail of Invisibility	410	psi_buy	100				permanent		750			Ectoplasmic Illusion			tech_mult	20											We develop a suit of armor that makes the wearer invisible.
Hivemind	411	psi_buy	100				temporary	86400	100			Mass Telepathy			manpower_max_mult	30											Mass telepathy gives us the ability to tune all of our minds to the same frequency, sharing thoughts and becoming a single united mind.
Arcane Healer	412	psi_buy	100				temporary	43200	20			Ectenic Force Control			hp_restore_mult	20											Using psionic method to rapidly heal even greivous wounds, our soldiers are able to return to battle much more quickly.
Akashic Explorer	413	psi_buy	100				temporary	3600	50			Akashic Access			xp_multiplier	30											Our mages explore the arcane realms of the Akashic Records, bringing back valuable insights that extend our knowledge and wisdom.
Architectural Manifestation	414	psi_buy	100				temporary	3600	20			Thoughtform Amplification			structure_discount	12											By amplifying their thoughtforms, our architects are able to directly materialize their designs, rapidly and at low cost.
Summon Leviathan	415	psi_buy	100				temporary	3600	100			Protracted Manifestation			bio_mult	25											The ability to summon a massive winged beast from hidden realms to fight for us in battle.
### Base Purchasables																											
Manpower Inspiration	450	base_buy	100				temporary	28800	90					0	manpower_rate_mult	25											A burst of inspired enthusiasm provokes a tremendous increase in our manpower recruitment rate.
Energy Development	451	base_buy	100				temporary	43200	110					0	energy_rate_mult	20											A concerted effort to develop new energy sources results in a great increase to our energy generation rate.
Transportation Infrastructure	452	base_buy	100				temporary	43200	80					0	geo_efficiency	4											Investing in a more robust transportation infrastructure makes it much easier to transport people and materials between far flung points in our empire.
Great Library	453	base_buy	100			TRUE	temporary	1800	40					0	xp_multiplier	25											A marvelous storehouse of knowledge. Access to this library allows our learning to develop at a much faster rate for some time.
Genius Scientist	454	base_buy	100			TRUE	temporary	28800	120					1	tech_mult	15											A scientist of uncanny genius allows us to advance the state of our technology by leaps and bounds.
Mine Shipment	455	base_buy	100			TRUE	temporary	3600	60					2	hp_per_square_mult	10											A large shipment of mines, useful for defending our borders from enemy invasions.
Krynid Army	456	base_buy	100			TRUE	temporary	3600	50					3	bio_mult	18											Seed pods that transform enemy citizens into gargantuan plant-based behemoths called Krynids, capable of wrecking devestating havoc upon the enemy.
Subterranean Barracks	457	base_buy	100				temporary	28800	70					4	hp_restore_mult	15											An extensive system of subterranean tunnels and bunkers allows our troops to rapidly reinforce areas while remaining out of sight.
Shamanic Tribe	458	base_buy	100			TRUE	temporary	3600	70					6	psi_mult	20											We ally with a shamanic tribe whose mystical arts give us a powerful advantage over our enemies.
Charismatic Leader	459	base_buy	100			TRUE	temporary	900	50					8	attack_manpower_mult	30											An inspiring leader rises from our ranks and sets our eyes upon victory. With this leadership, more manpower is devoted to each attack we make.
Scrap Trader	460	base_buy	100			TRUE	temporary	3600	20					10	salvage_value	10											We work with a well connected scrap trader who is able to barter high quality new material in exchange for our obsolete structures. 
Cornucopia	461	base_buy	100				temporary	86400	60					12	manpower_max_mult	25											An unusually generous harvest allows us to feed great multitudes, and support much more manpower.
Gifted Mentalist	462	base_buy	100			TRUE	temporary	28800	120					14	psi_mult	15											We hire the services of a gifted telepath capable of reading the deepest thoughts witrh ease.
Total Armament	463	base_buy	100				temporary	86400	140					16	hp_per_square_mult	8											Each of our civilians is equipped and trained with small arms, to help repel any attempt at an invasion.
Refurbished Energy Stores	464	base_buy	100				temporary	86400	40					18	energy_max_mult	20											By investing in maintenence and upgrades for our energy stores, we're able to expand the capacity of our reserves. 
Guerrilla Warfare	465	base_buy	100				temporary	900	20					20	splash_damage	15											Using paramilitary tactics, we are able to inflect damage on enemy forces over a wide area.
Bulk Barricade Shipment	466	base_buy	100			TRUE	temporary	3600	10					22	wall_discount	15											A shipment of the raw materials needed to build high quality barricades.
Master Tactician	467	base_buy	100			TRUE	temporary	3600	40					24	simultaneous_actions	1											A brilliant tactician plans our efforts so effectively that we are able to effectively engage in more battlefronts at one time.
Remote Viewing	468	base_buy	100				permanent		300					26	crit_chance	10											By mastering techniques of separating their perception from their bodies, our spies are able to pinpoint the vulnerabilities of our enemies.  
Super Soldier Hero	469	base_buy	100			TRUE	temporary	7200	200					28	tech_mult	15		bio_mult	15		psi_mult	15					An uncanniy talented hero comes forward, capable of leading our soldiers to victory.
Insurgency	470	base_buy	100				temporary	43200	400					30	insurgency	1											An armed resistence movement doubles the base defense strength of our interior territory.
### Random Advances																											
Hermetic Stone Idol	500	none	1			TRUE	temporary	600							psi_mult	30											Our people discover an ancient stone idol. Awestruck by its appearance, and fascinated by its power, we gain a bonus to our naton's psionic ability for a short time.
Otherworldly Savant	501	none	1			TRUE	temporary	28800							xp_multiplier	50											A mysterious life force briefly appears among our people, imparting to us some knowledge of the worlds outside our own.
Alien Battle Machine	502	none	1			TRUE	temporary	3600							tech_mult	25											In a mysterious wreckage that appears to be from another world, a working machine of warfare was found.  Its ancient power supply does not allow it to run for long though.
Disaffected Officer	503	none	1			TRUE	temporary	1800							crit_chance	20											An enemy officer, disaffected by the policies of his nation, has joined us in destroying them.
Strange Ore	504	none	1			TRUE	temporary	36000							tech_mult	20		credits	90								We have discovered a vein of a strange ore. It seems to have beneficial qualities.
Radioactive Pathogen	505	none	1			TRUE	temporary	1800							bio_mult	20		manpower_rate_mult	-40								Our forces have been stricken by a radioactive pathogen that severely restricts our ability to build up manpower, but has the advantage of infecting our enemies as well.
Blind Hermit	506	none	1			TRUE	temporary	1200							attack_manpower_mult	35											Our scouts have located a strange hermit. The tales of his fervent faith give our troops hope, and they will fight much harder.
Ragged Hermit	507	none	1			TRUE	temporary	1200							attack_manpower_mult	-20											Our scouts have located a strange hermit. The stories they tell of him dishearten the troops, and there has been a rash of fights in the camps.
Prophet of Glory	508	none	1			TRUE	temporary	36000							manpower_rate_mult	100											A man has comes forth, speaking prophecy. His portents seem to be true however, and as victory comes much easier, the troops are encouraged.
Prophet of Doom	509	none	1			TRUE	temporary	36000							manpower_rate_mult	-50											A man has come forth, speaking prophecy. His portents of doom and gloom have caused rioting, and troops have abandoned their posts.
Hidden Weapon Cache	510	none	1			TRUE	temporary	1200							tech_mult	30											Our scouts have reported to the Quartermaster the location of a cache of weapons, of an unknown design.
Abandoned Keep	511	none	1			TRUE	temporary	1800							structure_discount	35											We have come across an ancient fortress. Despite its age, it's in decent condition, and we can reuse its materials to build our own defenses.
Treasure Trove	512	none	1			TRUE	temporary	900							wall_discount	35		structure_discount	30		credits	180					Deep in these lands we have discovered hidden riches belonging to a long lost civilization.
Summoning Circle	513	none	1			TRUE	temporary	600							psi_mult	35											Our mages have discovered a summoning circle, and with little difficulty they have summoned a legion of trans-dimensional warriors to aid our cause.
Dark Summoning Circle	514	none	1			TRUE	temporary	21600							manpower_rate_mult	-25											Our mages have discovered a summoning circle, but the dark gateway has been left open. And the guardians were hungry.
Battle Plague	515	none	1			TRUE	temporary	1800							splash_damage	30											Our warriors are stricken by a mysterious illness. With death a certainty, we attack our enemy, infecting them with this plague.
### Landscape Objects																											
Iron Deposit	1000	none	1				object								tech	2	10										Iron mining gives us the raw materials to build more technological wonders.
Ancient Starship Wreckage	1001	none	1				object					Nanotechnology			tech	10	20	xp_multiplier	3	6							The wreckage of an alien starship that arrived many millenia ago, from which we can glean much useful knowledge.
Unique Ecosystem	1002	none	1				object					Biochemistry			bio	3	12										An isolated ecosystem full of unique organisms that allows us to vastly expand our biological tool set.
Cryptid Colony	1003	none	1				object					Exobiology			bio	10	20	xp_multiplier	3	6							A colony of elusive creatures, descendants of ancient hybrids with beings from another realm. Research of these beings illuminates countless biological mysteries.
Henge	1004	none	1				object								psi	2	15										A mystical arrangement of stones whose origin is lost in time, it is capable of bridging worlds and better connecting us with our deep intuition.
Oracle	1005	none	1				object					Akashic Access			psi	10	22	xp_multiplier	3	6							An ancient hermit community of powerful mystics whose services add greatly to our abilities.
Oil Deposit	1006	none	1				object					Internal Combustion			energy_rate	10	20										A rich fossil fuel deposit that provides ample energy for internal combustion engines.
Uranium Deposit	1007	none	1				object					Nuclear Power Source			energy_rate	25	60										A thick vein of uranium capable of fueling nuclear reactors.
Nickel Deposit	1008	none	1				object					Cold Fusion Power Source			energy_rate	75	200										A vast supply of nickel, which may be used to unleash colossal amounts of energy via cold fusion reactions.
Geothermal Vent	1009	none	1				object								energy_rate	2	12										A geological heat source that can be harnessed by living systems.
Ley Lines	1010	none	1				object					Gaia Energy			energy_rate	75	180										A natural confluence of life energy that we learn to direct.
Quartz Deposit	1011	none	1				object					Crystal Resonance			energy_rate	4	19										A natural conduit of etheric energy that allows us to magnify our psychic abilities.
Grave of an Ancient God	1012	none	1				object								energy_rate	100	300										Remnants of a primordial diety, perhaps a casualty in an ancient war amongst gods. This site remains a powerful source of exotic supernatural energies.
Fresh Water	1013	none	1				object								manpower_rate	4	38										A clean source of fresh water that allows us to expand our agriculture, producing more crops to feed a greater number of people.
Fertile Soil	1014	none	1				object								manpower_rate	3	25										A rich, high-yielding expanse of soil that can produce lush and plentiful crops.
Research Facility	1015	none	1				object								xp_multiplier	4	8	tech	2	8	bio	1	4				A well equipped scientific installation manned by dozens of experts who are happy to cooperate with the latest occupying forces.
Alchemist's Lair	1016	none	1				object								xp_multiplier	4	8	psi	2	8	bio	1	4				An ancient academy of alchemists who will gladly donate their services in exchange for test subjects.